Conference,Division[54],Team[54],City,Stadium[55],Capacity,First season[56],Head coach
AFC,East,Buffalo Bills,"Orchard Park, New York",Highmark Stadium,71608,1960 (AFL) 1970 (NFL),Sean McDermott
AFC,East,Miami Dolphins,"Miami Gardens, Florida",Hard Rock Stadium,64767,1966 (AFL) 1970 (NFL),Mike McDaniel
AFC,East,New England Patriots,"Foxborough, Massachusetts",Gillette Stadium,65878,1960 (AFL) 1970 (NFL),Mike Vrabel
AFC,East,New York Jets,"East Rutherford, New Jersey",MetLife Stadium[b],82500,1960 (AFL) 1970 (NFL),Aaron Glenn
AFC,North,Baltimore Ravens,"Baltimore, Maryland",M&T Bank Stadium,71008,1996[c],John Harbaugh
AFC,North,Cincinnati Bengals,"Cincinnati, Ohio",Paycor Stadium,65515,1968 (AFL) 1970 (NFL),Zac Taylor
AFC,North,Cleveland Browns,"Cleveland, Ohio",Huntington Bank Field,67895,1946 (AAFC) 1950 (NFL)[c],Kevin Stefanski
AFC,North,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",Acrisure Stadium,68400,1933,Mike Tomlin
AFC,South,Houston Texans,"Houston, Texas",NRG Stadium,71995,2002,DeMeco Ryans
AFC,South,Indianapolis Colts*,"Indianapolis, Indiana",Lucas Oil Stadium,63000,1953,Shane Steichen
AFC,South,Jacksonville Jaguars,"Jacksonville, Florida",EverBank Stadium[d],67814,1995,Liam Coen
AFC,South,Tennessee Titans*,"Nashville, Tennessee",Nissan Stadium,69143,1960 (AFL) 1970 (NFL),Mike McCoy (interim)
AFC,West,Denver Broncos,"Denver, Colorado",Empower Field at Mile High,76125,1960 (AFL) 1970 (NFL),Sean Payton
AFC,West,Kansas City Chiefs*,"Kansas City, Missouri",GEHA Field at Arrowhead Stadium,76416,1960 (AFL) 1970 (NFL),Andy Reid
AFC,West,Las Vegas Raiders*,"Paradise, Nevada",Allegiant Stadium,65000,1960 (AFL) 1970 (NFL),Pete Carroll
AFC,West,Los Angeles Chargers*,"Inglewood, California",SoFi Stadium[e],70240,1960 (AFL) 1970 (NFL),Jim Harbaugh
NFC,East,Dallas Cowboys,"Arlington, Texas",AT&T Stadium,80000,1960,Brian Schottenheimer
NFC,East,New York Giants,"East Rutherford, New Jersey",MetLife Stadium[b],82500,1925,Mike Kafka (interim)
NFC,East,Philadelphia Eagles,"Philadelphia, Pennsylvania",Lincoln Financial Field,69176,1933,Nick Sirianni
NFC,East,Washington Commanders*,"Landover, Maryland",Northwest Stadium,62000,1932,Dan Quinn
NFC,North,Chicago Bears*†,"Chicago, Illinois",Soldier Field,61500,1920,Ben Johnson
NFC,North,Detroit Lions*,"Detroit, Michigan",Ford Field,65000,1930,Dan Campbell
NFC,North,Green Bay Packers,"Green Bay, Wisconsin",Lambeau Field,81441,1919[f] 1921 (NFL),Matt LaFleur
NFC,North,Minnesota Vikings,"Minneapolis, Minnesota",U.S. Bank Stadium,66860,1961,Kevin O'Connell
NFC,South,Atlanta Falcons,"Atlanta, Georgia",Mercedes-Benz Stadium,71000,1966,Raheem Morris
NFC,South,Carolina Panthers,"Charlotte, North Carolina",Bank of America Stadium,75523,1995,Dave Canales
NFC,South,New Orleans Saints,"New Orleans, Louisiana",Caesars Superdome,73208,1967,Kellen Moore
NFC,South,Tampa Bay Buccaneers,"Tampa, Florida",Raymond James Stadium,65618,1976,Todd Bowles
NFC,West,Arizona Cardinals*†,"Glendale, Arizona",State Farm Stadium,63400,1898[g] 1920 (NFL),Jonathan Gannon
NFC,West,Los Angeles Rams*,"Inglewood, California",SoFi Stadium[e],70240,1936 (AFL) 1937 (NFL),Sean McVay
NFC,West,San Francisco 49ers,"Santa Clara, California",Levi's Stadium,68500,1946 (AAFC) 1950 (NFL),Kyle Shanahan
NFC,West,Seattle Seahawks,"Seattle, Washington",Lumen Field,69000,1976,Mike Macdonald
